"nt","np","dg","est","rep","design","error_flag","MAproc","varinity","procnoise","se_MAproc","se_varinity","se_procnoise","Chi-square : Value","Chi-square : Degrees of Freedom","Chi-square : P-Value","CFI","TLI","H0 Loglikelihood","H1 Loglikelihood","Number of Free Parameters","Akaike (AIC)","Bayesian (BIC)","Sample-Size Adjusted BIC","RMSEA : Estimate","RMSEA : Low CI","RMSEA : High CI","RMSEA : Probability","SRMR"
"1",14,50,"LCM","MA",1,"complete",0,0.032721244,580.25067,269.53333,0.023790808,101.9333,8.9349136,10051.351,116,0,0,-0.58278284,-8346.3093,-3320.6339,3,16698.619,16707.443,16697.952,0.78216538,0.76925969,0.79514882,0,11.45845
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",14,50,"LCM","MA",2,"complete",0,0.021240234,581.31079,269.05615,0.023292463,102.01526,8.9191256,10222.997,116,0,0,-0.58226673,-8344.7157,-3233.2172,3,16695.431,16704.256,16694.765,0.78889292,0.77598754,0.8018754,0,12.192094
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",14,50,"LCM","MA",2,"random_8",0,0.016734734,470.58182,380.13058,0.045821596,102.78031,15.032034,8385.691,116,0,0,-0.3657567,-6284.7021,-2091.8566,3,12575.404,12584.229,12574.738,0.71359472,0.70068516,0.72658929,0,17.797243
"17",14,100,"LCM","MA",1,"complete",0,0.019268963,2319.6785,1046.8818,0.016421665,285.55054,24.539278,24608.244,116,0,0,-0.75709291,-19354.808,-7050.6856,3,38715.616,38726.52,38717.007,0.86837294,0.85925305,0.8775281,0,46.750172
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",14,300,"LCM","MA",1,"complete",0,220.77684,30105.744,0.19049336,440.84512,1469.0231,0.76075506,93176.736,116,0,0,-1.013397,-70901.434,-24313.066,3,141808.87,141823.07,141813.54,0.97727008,0.97200433,0.98254632,0,407.25327
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",14,300,"LCM","MA",1,"reference",0,92.117012,30104.926,1.7387371,204.99698,1469.0724,7.7385688,64607.085,116,0,0,-0.48888401,-48244.898,-15941.355,3,96495.796,96509.996,96500.469,0.8135443,0.80827888,0.81882231,0,642.53934
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",14,300,"LCM","MA",1,"TCDM_8",0,134.80844,30107.51,0.72629601,312.72379,1469.2191,3.3696532,70138.573,116,0,0,-0.60750303,-52854.232,-17784.946,3,105714.46,105728.66,105719.14,0.84771603,0.84245054,0.8529936,0,570.35064
"40",14,300,"LCM","MA",1,"random_8",0,140.25595,30104.17,0.67009151,271.32785,1468.8813,2.5925927,70741.06,116,0,0,-0.60223039,-52910.819,-17540.289,3,105827.64,105841.84,105832.31,0.85135517,0.84608967,0.8566327,0,583.2339
"41",14,300,"LCM","MA",2,"complete",0,0.0055223349,20820.793,9285.3955,0.0092939716,1474.4044,125.66197,92898.276,116,0,0,-0.99174715,-70901.608,-24452.47,3,141809.22,141823.42,141813.89,0.97580687,0.97054112,0.98108313,0,389.00806
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",14,300,"LCM","MA",2,"TCDM_8",0,111.99988,30103.574,1.0522473,305.52597,1468.8678,5.7408319,69877.756,116,0,0,-0.60045048,-52854.279,-17915.401,3,105714.56,105728.76,105719.23,0.84613579,0.8408703,0.85141338,0,546.77978
"48",14,300,"LCM","MA",2,"random_8",0,112.60206,30107.748,1.0431842,265.55307,1469.2644,4.9203048,70195.049,116,0,0,-0.59152466,-52763.63,-17666.105,3,105533.26,105547.46,105537.93,0.84805782,0.84279233,0.85333539,0,553.37167
